,name,rest_id,city,area,cuisine,cost_for_two,del_time,max_del_time,min_del_time,loc,disc_meta,disc_type,disc_op_type,fee,menu_link
0,Sanu Family Restaurant,88740,57,Chandrashekarpur,"['Tandoor', 'Chinese', 'Biryani', 'Indian']",25000,30,30,30,Near Brothers Residency,60% off | Use DEAL60,Percentage,RESTAURANT,2200,
1,Green Chillyz,74268,57,Chandrashekarpur,"['Indian', 'Chinese', 'Biryani', 'Tandoor']",20000,32,32,32,Kalinga Hospital Square,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
2,Smog Resto Cafe,76133,57,Chandrashekarpur,"['Indian', 'Chinese', 'Tandoor']",40000,38,38,38,Gajapati Nagar,,,,2200,
3,Asia seven express,82621,57,Rasulgarh,"['Pan-Asian', 'Chinese', 'Seafood', 'Thai', 'Asian']",40000,51,51,51,Esplande,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
4,GREENLAND INN,330284,57,Chandrashekarpur,"['Indian', 'Chinese']",20000,28,28,28,Chandrashekarpur,,,,2200,
5,Sandhyarani Hotel,121567,57,Chandrashekarpur,['Indian'],18000,24,24,24,"Press Square, Gajapati Nagar",15% off on orders above ₹498,Percentage,RESTAURANT,2200,
6,Street Foods by Punjab Grill,82619,57,Rasulgarh,"['North Indian', 'Indian', 'Biryani', 'Punjabi', 'Fast Food', 'Kebabs', 'Mughlai', 'Desserts']",35000,48,48,48,Esplande,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
7,Garam Masala,73598,57,Chandrashekarpur,"['Indian', 'Chinese', 'Tandoor', 'Biryani']",25000,43,43,43,above punjab national bank,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2200,
8,KALPANA HOTEL AND KOLKATA ROLL,297569,57,Chandrashekarpur,"['Biryani', 'Ice Cream', 'Indian']",35000,26,26,26,sainik School Square,,,,2200,
9,Hotel Maharaja and Fast Food,85777,57,Khandagiri,"['Indian', 'Chinese', 'Tandoor', 'Biryani']",25000,52,52,52,Fire Station,50% off | Use SWIGGYIT,Percentage,RESTAURANT,3700,
10,Tandoor Matka,100776,57,Rasulgarh,"['Beverages', 'Indian', 'Chinese', 'Biryani', 'Fast Food', 'Thalis']",15000,38,38,38,"NALCO Square, Chandrasekharpur, Bhubaneswar.",50% off | Use SWIGGYIT,Percentage,RESTAURANT,2200,
11,HUNGER GARAGE,309084,57,Chandrashekarpur,"['Indian', 'Chinese', 'Biryani', 'Thalis', 'Fast Food']",20000,38,38,38,Chandrashekarpur,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2200,
12,HOTEL JAI RADISSION ,296281,57,Chandrashekarpur,"['Biryani', 'North Indian', 'Fast Food', 'Continental']",20000,49,49,49,Patia,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
13,Chancellor Restaurant,326176,57,Chandrashekarpur,"['Chinese', 'Indian', 'Tandoor']",25000,32,32,32,Chandrashekarpur,,,,2200,
14,Anjali Kitchen,312390,57,Chandrashekarpur,['Indian'],20000,36,36,36,Kalinga Hospital Square,30% off on orders above ₹100,Percentage,RESTAURANT,2200,
15,Rolling Crunchy's,157316,57,Chandrashekarpur,"['Italian', 'Pizzas', 'Tandoor', 'Biryani']",25000,38,38,38,Chandrashekarpur,25% off on orders above ₹100,Percentage,RESTAURANT,2200,
16,Anjali Kitchen,312390,57,Chandrashekarpur,['Indian'],20000,36,36,36,Kalinga Hospital Square,30% off on orders above ₹100,Percentage,RESTAURANT,2200,
17,Rolling Crunchy's,157316,57,Chandrashekarpur,"['Italian', 'Pizzas', 'Tandoor', 'Biryani']",25000,38,38,38,Chandrashekarpur,25% off on orders above ₹100,Percentage,RESTAURANT,2200,
18,Giani,73593,57,Chandrashekarpur,"['Desserts', 'Beverages']",20000,28,28,28,Nandankanan Road,10% off | Use PARTY,Percentage,RESTAURANT,2200,
19,House Of Biryani,119868,57,Nayapalli,"['Indian', 'Chinese']",20000,35,35,35,Jayadev Vihar,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
20,Dosa Plaza,87304,57,Patia,['South Indian'],25000,43,43,43,Near Hotel Suraj Palace,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
21,Bhaina Hotel And Fast Food,82520,57,Sahid Nagar,"['Indian', 'Chinese', 'Biryani', 'Oriya']",20000,46,46,46,Near Voltas Pvt,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
22,Brocan Cafe and Restaurant,217500,57,Chandrashekarpur,"['Chinese', 'Fast Food', 'Indian']",25000,40,40,40,Chandrashekarpur,,,,2200,
23,Richie's Fastfood& Restaurant,105392,57,Khandagiri,"['Indian', 'Chinese']",25000,52,52,52,Saubhaya Nagar,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
24,Chancellor Restaurant,81808,57,Sahid Nagar,"['Indian', 'Chinese', 'Biryani']",30000,44,44,44,Sahid Nagar,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
25,SAHEBZADDA,312403,57,Chandrashekarpur,"['Tandoor', 'Biryani', 'Chinese', 'Indian']",20000,49,49,49,Chandrashekarpur,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
26,Rolls On Wheels,74929,57,Patia,['Fast Food'],10000,38,38,38,Technology Corridor,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
27,CRAZY MAGGIE AND BURGER,315970,57,Chandrashekarpur,['Fast Food'],20000,35,35,35,Sahid Nagar,,,,2200,
28,Chandini Food Magic,159288,57,Patia,"['North Indian', 'Fast Food', 'Biryani']",20000,53,53,53,Sai Vihar,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
29,CRAZY MAGGIE & BURGER,339223,57,Chandrashekarpur,"['Chinese', 'Continental', 'Indian']",40000,35,35,35,Chandrashekharpur,,,,2200,
30,WOK OF CHINA,330297,57,Patia,['Chinese'],20000,46,46,46,Patia,35% off on orders above ₹179,Percentage,RESTAURANT,2200,
31,3Q Restaurant,75634,57,Nayapalli,"['Indian', 'Chinese', 'Tandoor']",20000,53,53,53,Near Hotel Presidency,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
32,WOK OF CHINA,330297,57,Patia,['Chinese'],20000,46,46,46,Patia,35% off on orders above ₹179,Percentage,RESTAURANT,2200,
33,3Q Restaurant,75634,57,Nayapalli,"['Indian', 'Chinese', 'Tandoor']",20000,53,53,53,Near Hotel Presidency,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
34,THE PIE,331233,57,Patia,['Fast Food'],20000,28,28,28,Patia,35% off on orders above ₹179,Percentage,RESTAURANT,2200,
35,Biryani And Boti,230207,57,Patia,"['Biryani', 'Tandoor']",25000,49,49,49,Mancheswar,40% off on orders above ₹149,Percentage,RESTAURANT,2200,
36,KFC,75280,57,Sahid Nagar,"['American', 'Fast Food']",40000,38,38,38,Pal Height Mall,,,,2200,
37,Taste Of China,73902,57,Chandrashekarpur,['Chinese'],50000,43,43,43,Niladri Vihar Road,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
38,TASTE OF GRANNY,343754,57,Patia,"['Chinese', 'Biryani', 'Desserts']",30000,41,41,41,Patia,,,,2200,
39,BAMBO-MATKA BIRYANI,343681,57,Patia,['Indian'],30000,29,29,29,Patia,,,,2200,
40,Michael's Kitchen,78385,57,Sahid Nagar,"['Asian', 'Indian']",80000,46,46,46,Gajapati Nagar,,,,2200,
41,Club Dine Restaurant,74930,57,Chandrashekarpur,"['Indian', 'Chinese', 'Tandoor', 'Biryani']",60000,60,60,60,District Centre,,,,2200,
42,Biriyani Box,76135,57,Sahid Nagar,"['Biryani', 'Kebabs', 'Fast Food', 'Indian', 'Desserts']",30000,44,44,44,Sahid Nagar,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
43,BREW XPRESZ,305733,57,Sahid Nagar,"['Pizzas', 'Pastas', 'Beverages']",30000,39,39,39,"Jaydev Vihar , near Pal Heights",30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
44,Mama's Town Pizza,72274,57,Chandrashekarpur,['Italian'],30000,46,46,46,Nandankanan Road,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
45,MAA SIDHESWORI HOTEL,330503,57,Patia,"['Punjabi', 'Chinese', 'Indian']",20000,38,38,38,Patia,,,,2200,
46,Omm Sai Ram Fast Food,73753,57,Chandrashekarpur,"['Indian', 'Chinese', 'Tandoor']",20000,33,33,33,Nandankanan Road,,,,2200,
47,Barbeque Odisha,72741,57,Patia,"['Indian', 'Tandoor', 'Chinese']",50000,34,34,34,Opposite Reliance Fresh,,,,2200,
48,Omm Sai Ram Fast Food,73753,57,Chandrashekarpur,"['Indian', 'Chinese', 'Tandoor']",20000,33,33,33,Nandankanan Road,,,,2200,
49,Barbeque Odisha,72741,57,Patia,"['Indian', 'Tandoor', 'Chinese']",50000,34,34,34,Opposite Reliance Fresh,,,,2200,
50,9th Street,77339,57,Sahid Nagar,"['North Indian', 'Chinese', 'Continental', 'Beverages']",60000,48,48,48,Unit 4,,,,2200,
51,FOOD FATAAKHA,310212,57,Sahid Nagar,"['Chinese', 'Indian']",30000,29,29,29,Sahid Nagar,,,,2200,
52,Truptee Restaurant,107331,57,Sahid Nagar,"['Indian', 'Chinese']",25000,41,41,41,"Madhusudan Nagar, Unit4",,,,2200,
53,NANAA DHABA,305104,57,Patia,"['Indian', 'Thalis', 'Seafood', 'Oriya', 'Tandoor']",20000,44,44,44,"Housing Board Colony, Chandrasekharpur",40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
54,BIRYANI HOUSE,328241,57,Sahid Nagar,"['Biryani', 'Chinese', 'Indian']",30000,30,30,30,Sahid Nagar,40% off on orders above ₹400,Percentage,RESTAURANT,2200,
55,Madhuban Restaurant,163548,57,Nayapalli,['Fast Food'],25000,36,36,36,Jayadev Vihar,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
56,Wow! Momo,79066,57,Sahid Nagar,"['Tibetan', 'Fast Food', 'Chinese', 'Snacks', 'Continental', 'Desserts']",30000,31,31,31,JANPATH RD,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2200,
57,BIRIYANI NATION,307358,57,Chandrashekarpur,"['Biryani', 'Indian']",30000,40,40,40,Chandrashekarpur,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
58,FOODISTO,341138,57,Patia,['North Indian'],20000,29,29,29,Patia,,,,2200,
59,Rajvansh Biryani,311659,57,Patia,"['North Indian', 'Chinese']",50000,31,31,31,Chandrashekharpur,Free Delivery | Use FREEDEL,FREE_DELIVERY,RESTAURANT,0,
60,Hotel Charlie,115008,57,Sahid Nagar,"['Indian', 'Chinese']",20000,44,44,44,Sahid Nagar,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
61,Biryani By Kilo,262280,57,Chandrashekarpur,"['Biryani', 'Mughlai', 'Kebabs', 'North Indian', 'Hyderabadi', 'Lucknowi', 'Andhra', 'South Indian']",70000,48,48,48,Chandrashekarpur,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
62,Hide Away Restro and Cafe,77318,57,Sahid Nagar,['North Indian'],60000,30,30,30,Unit 4,,,,2200,
63,Sher-E-Punjab,178337,57,Sahid Nagar,"['Biryani', 'Chinese', 'Indian']",15000,45,45,45,MADHUSUDAN NAGAR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
64,Hide Away Restro and Cafe,77318,57,Sahid Nagar,['North Indian'],60000,30,30,30,Unit 4,,,,2200,
65,Sher-E-Punjab,178337,57,Sahid Nagar,"['Biryani', 'Chinese', 'Indian']",15000,45,45,45,MADHUSUDAN NAGAR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
66,Combi-Nation,193554,57,Sahid Nagar,['Indian'],25000,43,43,43,Sahid Nagar,10% off | Use SWIGGYIT,Percentage,RESTAURANT,2200,
67,Pabrais Fresh and Naturelle Ice creams,335166,57,Sahid Nagar,['Ice Cream'],30000,35,35,35,Sahid Nagar,,,,2200,
68,HOME KITCHEN,330204,57,Sahid Nagar,['Tandoor'],20000,31,31,31,Sahid Nagar,,,,2200,
69,THE BIRYANI HAUS,332058,57,Sahid Nagar,"['Biryani', 'Chinese']",59900,35,35,35,Sahid Nagar,,,,2200,
70,Maharaja Hotel and Restaurant,76121,57,Sahid Nagar,['North Indian'],25000,40,40,40,Sahid Nagar,,,,2200,
71,Giani,100771,57,Sahid Nagar,"['Desserts', 'Ice Cream']",20000,33,33,33,"Bhouma Nagar,Unit 4",10% off | Use PARTY,Percentage,RESTAURANT,2700,
72,Tawaa Tandoor,77316,57,Sahid Nagar,"['Indian', 'Chinese', 'Biryani']",30000,46,46,46,Sahid Nagar,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
73,Biggies Burger 'n' More,87320,57,Sahid Nagar,"['Fast Food', 'American', 'Cafe']",30000,46,46,46,Near BMC Mall,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
74,PRIYA HOTEL AND RESTAURANT,111471,57,Sahid Nagar,"['North Indian', 'Chinese']",15000,42,42,42,Nayapalli,40% off on orders above ₹139,Percentage,RESTAURANT,2700,
75,RED BERYL,324291,57,Sahid Nagar,['Indian'],20000,37,37,37,Sahid Nagar,5% off on orders above ₹999,Percentage,RESTAURANT,2700,
76,Food Factory,83409,57,Sahid Nagar,"['Indian', 'Biryani', 'Chinese']",30000,43,43,43,Sahid Nagar,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
77,Curry Nation,73591,57,Chandrashekarpur,"['Indian', 'Bengali', 'Oriya']",50000,33,33,33,Chandrasekharpur,20% off | Use SWIGGYIT,Percentage,RESTAURANT,2200,
78,CHANCELLOR PREMIUM,338567,57,Sahid Nagar,"['Indian', 'Biryani', 'Chinese', 'Seafood']",20000,41,41,41,Sahid Nagar,,,,2700,
79,Hot Chilly Resto,71210,57,Patia,"['North Indian', 'Chinese', 'Biryani']",20000,47,47,47,Nandankanan Road,60% off | Use DEAL60,Percentage,RESTAURANT,2700,
80,CHANCELLOR PREMIUM,338567,57,Sahid Nagar,"['Indian', 'Biryani', 'Chinese', 'Seafood']",20000,41,41,41,Sahid Nagar,,,,2700,
81,Hot Chilly Resto,71210,57,Patia,"['North Indian', 'Chinese', 'Biryani']",20000,47,47,47,Nandankanan Road,60% off | Use DEAL60,Percentage,RESTAURANT,2700,
82,The Canteen,133830,57,Nayapalli,"['North Indian', 'Chinese', 'Biryani']",25000,51,51,51,Nayapalli,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
83,Refresh Live Cafe,121569,57,Nayapalli,"['Cafe', 'Italian', 'Chinese']",25000,41,41,41,Nayapalli,,,,2700,
84,ODISSI DARBAR,258273,57,Sahid Nagar,['Indian'],25000,45,45,45,Sahid Nagar,30% off | Use SWIGGYIT,Percentage,RESTAURANT,2200,
85,Eat street jaydev vihar,256699,57,Sahid Nagar,"['Biryani', 'Chinese', 'Indian', 'Tandoor']",30000,38,38,38,Nayapalli,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
86,Bapu Restaurant,76494,57,Sahid Nagar,"['Chinese', 'North Indian']",40000,49,49,49,Sahid Nagar,,,,2700,
87,Arbic Biriyani,319268,57,Patia,"['Biryani', 'Indian']",15000,32,32,32,Patia,,,,2700,
88,Kbr Roll and Rolls,83389,57,Sahid Nagar,['Fast Food'],15000,47,47,47,Sahid Nagar,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
89,Hotel Maa Santoshi,159197,57,Sahid Nagar,['Indian'],15000,38,38,38,RUPALI SQUARE,20% off on all orders,Percentage,RESTAURANT,2700,
90,BURGER & FRIES,337365,57,Sahid Nagar,['Indian'],30000,42,42,42,Sahid Nagar,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
91,DELISH KITCHEN,334684,57,Sahid Nagar,"['Indian', 'Chinese', 'Tandoor', 'Biryani']",20000,33,33,33,Sahid Nagar,,,,2700,
92,Refresh Live,84977,57,Nayapalli,"['Continental', 'Chinese']",20000,41,41,41,ID Market,,,,2700,
93,Tasty Momos,211063,57,Rasulgarh,['Chinese'],10000,43,43,43,Rasulgarh,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
94,Golden Orchid,85540,57,Nayapalli,"['Indian', 'Chinese', 'Tandoor']",20000,37,37,37,Jayadev Vihar,30% off above Rs 350,Percentage,RESTAURANT,2700,
95,Jyotis Kitchen,241737,57,Chandrashekarpur,"['Biryani', 'Chinese', 'Indian', 'Thalis']",15000,48,48,48,Chandrashekarpur,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
96,Golden Orchid,85540,57,Nayapalli,"['Indian', 'Chinese', 'Tandoor']",20000,37,37,37,Jayadev Vihar,30% off above Rs 350,Percentage,RESTAURANT,2700,
97,Jyotis Kitchen,241737,57,Chandrashekarpur,"['Biryani', 'Chinese', 'Indian', 'Thalis']",15000,48,48,48,Chandrashekarpur,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
98,INDIAN BIRIYANI KING,296283,57,Chandrashekarpur,"['Biryani', 'Indian', 'Chinese', 'Combo', 'Tandoor', 'Fast Food']",20000,45,45,45,Patia,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
99,Seasoning Kitchen,133354,57,Chandrashekarpur,"['Indian', 'Chinese', 'Tandoor', 'Continental']",25000,51,51,51,Chandrashekarpur,Free Delivery | Use FREEDEL,FREE_DELIVERY,RESTAURANT,0,
100,3Q Premium Restaurant,75644,57,Nayapalli,"['Indian', 'Chinese', 'Tandoor']",20000,47,47,47,Near Kalinga Stadium Gate No 2,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
101,AAHARAM Restaurant,264324,57,Sahid Nagar,"['Chinese', 'Indian']",25000,51,51,51,Sahid Nagar,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
102,Grill Gharana,299791,57,Nayapalli,"['Indian', 'Chinese', 'Tandoor', 'Grill', 'Kebabs', 'Oriya']",75000,33,33,33,Jaydev Vihar,,,,2700,
103,Ollywood Hotel,121572,57,Sahid Nagar,"['Oriya', 'Indian', 'Biryani', 'North Indian', 'Chinese', 'Snacks']",15000,38,38,38,Unit-4,20% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
104,Burger King,92284,57,Rasulgarh,"['American', 'Fast Food']",35000,57,57,57,Esplanade One Mall,60% off | Use DEAL60,Percentage,RESTAURANT,2700,
105,TASTY ROYAL FOOD,327375,57,Sahid Nagar,['Chinese'],20000,45,45,45,Sahid Nagar,30% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
106,Han Dynasty,86685,57,Nayapalli,['Chinese'],50000,50,50,50,Jayadev Vihar,,,,2700,
107,YUMMY TUMMY,330841,57,Sahid Nagar,"['Chinese', 'Fast Food', 'Snacks']",30000,34,34,34,Sahid Nagar,,,,2700,
108,KRISPY CREME,330950,57,Patia,"['Fast Food', 'Chinese', 'Indian']",30000,33,33,33,Patia,,,,2700,
109,Pizza Hut,78951,57,Sahid Nagar,"['Fast Food', 'Pizzas']",35000,49,49,49,Kharval Nagar,30% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
110,N5 Restaurant And Coffee Bar,85778,57,Nayapalli,"['Indian', 'Chinese', 'Tandoor']",20000,38,38,38,ID Market,,,,2700,
111,FOOD I LAND,323578,57,Sahid Nagar,['North Indian'],20000,36,36,36,Sahid Nagar,,,,2700,
112,N5 Restaurant And Coffee Bar,85778,57,Nayapalli,"['Indian', 'Chinese', 'Tandoor']",20000,38,38,38,ID Market,,,,2700,
113,FOOD I LAND,323578,57,Sahid Nagar,['North Indian'],20000,36,36,36,Sahid Nagar,,,,2700,
114,Yo Panda,295735,57,Old BBSR,"['Fast Food', 'Chinese']",20000,45,45,45,Sahid Nagar,10% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
115,Pipul Restaurant,102618,57,Rasulgarh,"['Indian', 'Chinese']",25000,45,45,45,Mancheswar,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
116,Dabba Garam,326629,57,Nayapalli,"['Chinese', 'Combo', 'North Indian']",20000,47,47,47,Nayapalli,50% off on orders above ₹129,Percentage,RESTAURANT,2700,
117,Bawarchi Ten 11,76122,57,Sahid Nagar,"['North Indian', 'South Indian', 'Chinese', 'Fast Food', 'Biryani']",40000,47,47,47,Kharabela Nagar,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
118,PERSIAN TALES ( GRILL & GYRO ),339871,57,Patia,"['Fast Food', 'Indian', 'Pizzas', 'Seafood', 'Desserts']",40000,42,42,42,Patia,20% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
119,BIRIYANI NATION,330298,57,Patia,['Biryani'],20000,39,39,39,Patia,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
120,HOTEL SURPRISE,268296,57,Sahid Nagar,"['North Indian', 'Chinese', 'Tandoor']",25000,36,36,36,Patia,,,,2700,
121,Haldi,320647,57,Nayapalli,"['Indian', 'Biryani']",30000,34,34,34,NAYAPALLI,,,,2700,
122,Bhookaa,71609,57,Patia,"['Indian', 'Chinese']",60000,49,49,49,Sailashree Vihar,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
123,ZAM ZAM GRILLS,321685,57,Patia,"['North Indian', 'Chinese']",40000,49,49,49,Patia,,,,2700,
124,THE UTKAL,324596,57,Patia,"['North Indian', 'Chinese', 'Biryani', 'Tandoor']",20000,36,36,36,Patia,,,,2700,
125,Biryani With Love,303354,57,Nayapalli,['Biryani'],25000,47,47,47,Nayapalli,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
126,Puri Howrah Express,112434,57,Sahid Nagar,"['Bengali', 'Indian', 'Chinese', 'Biryani']",30000,39,39,39,Kharvela Nagar,,,,2700,
127,Maa Dakshina Kali Hotel,112432,57,Nayapalli,"['Indian', 'Chinese', 'Tandoor']",20000,42,42,42,Ekamra Village,30% off on all orders,Percentage,RESTAURANT,2700,
128,Puri Howrah Express,112434,57,Sahid Nagar,"['Bengali', 'Indian', 'Chinese', 'Biryani']",30000,39,39,39,Kharvela Nagar,,,,2700,
129,Maa Dakshina Kali Hotel,112432,57,Nayapalli,"['Indian', 'Chinese', 'Tandoor']",20000,42,42,42,Ekamra Village,30% off on all orders,Percentage,RESTAURANT,2700,
130,Adda Unplugged,222436,57,Old BBSR,"['Chinese', 'Continental', 'Indian', 'Mexican']",30000,45,45,45,Old BBSR,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
131,The Belgian Waffle Co.,341979,57,Sahid Nagar,"['Desserts', 'Beverages']",20000,47,47,47,Saheed Nagar,,,,2700,
132,Chai Break,94423,57,Sahid Nagar,"['Indian', 'Continental']",50000,40,40,40,Sahid Nagar,Free Delivery | Use FREEDEL,FREE_DELIVERY,RESTAURANT,0,
